File name;Number;Metadata
MSUS01002113AA-TTV.csv;1;Rodde og Kikkan 21:32
MSUS01002113AA-TTV.csv;2;Navn: MSUS01002113AA
MSUS01002113AA-TTV.csv;3;Type: TTV
MSUS01002113AA-TTV.csv;4;Oppsett: 0
MSUS01002113AA-TTV.csv;5;Variant: BOK
MSUS01002113AA-TTV.csv;6;wmv
MSUS01002113AA-TTV.csv;7;00:00:00 - 00:20:15        20'15''
MSUS01002113AA-TTV.csv;8;27.03.14
MSUS01002113AA-TTV.csv;9;lwa
MSUB17001015AA-TTV.csv;0;{\an7}MSUB-170010/15 A t-tv     176t
MSUB17001015AA-TTV.csv;1;Superkviss 10:60
MSUB17001015AA-TTV.csv;2;Navn: MSUB17001015AA
MSUB17001015AA-TTV.csv;3;Type: TTV
MSUB17001015AA-TTV.csv;4;Oppsett: 0
MSUB17001015AA-TTV.csv;5;Variant: BOK
MSUB17001015AA-TTV.csv;6;MSUB17001015AA
MSUB17001015AA-TTV.csv;7;00:00:00:00 - 00:15:25:21
MSUB17001015AA-TTV.csv;8;09.07.15
MSUB17001015AA-TTV.csv;9;hsæ
DKHO99042919AA-TTV.csv;0;{\an7}DKHO-990429-19AA t-tv 70 t
DKHO99042919AA-TTV.csv;1;Distriktsnyheter Vestlandsrevyen
DKHO99042919AA-TTV.csv;2;Navn: DKHO99042919AA
DKHO99042919AA-TTV.csv;3;Type: TTV
DKHO99042919AA-TTV.csv;4;Oppsett: 5
DKHO99042919AA-TTV.csv;5;Variant: BOK
DKHO99042919AA-TTV.csv;6;DKHO-990429-19AA
DKHO99042919AA-TTV.csv;7;10:02:36– 10:11:25 0.08'49
OCHS20001409AA-TTV.csv;0;{\an7}OCHS 200014/09 A  t-tv   t
OCHS20001409AA-TTV.csv;1;20 spørsmål 14:22
OCHS20001409AA-TTV.csv;2;Navn: OCHS20001409AA
OCHS20001409AA-TTV.csv;3;Type: TTV
OCHS20001409AA-TTV.csv;4;Oppsett: 0
OCHS20001409AA-TTV.csv;5;Variant: BOK
OCHS20001409AA-TTV.csv;6;-- -- --
OCHS20001409AA-TTV.csv;7;-- -- --                       24'03
DNPR63701415AA-TTV.csv;0;{\an7}DNPR 637014/15 A  ttv     125 t
DNPR63701415AA-TTV.csv;1;Kråkeklubben 14:20
DNPR63701415AA-TTV.csv;2;Navn: DNPR63701415AA
DNPR63701415AA-TTV.csv;3;Type: TTV
DNPR63701415AA-TTV.csv;4;Oppsett: 0
DNPR63701415AA-TTV.csv;5;Variant: BOK
DNPR63701415AA-TTV.csv;6;DNPR63701415AA
DNPR63701415AA-TTV.csv;7;00:00:00:00 - 00:11:34:19   011.35
DNPR63701415AA-TTV.csv;8;14.10.2015
DNPR63701415AA-TTV.csv;9;kha
MDHP11101418AA-TTV.csv;0;{\an7}MDHP11101418A TTV
MDHP11101418AA-TTV.csv;1;Kajakk-motor
MDHP11101418AA-TTV.csv;2;Navn: MDHP11101418AA
MDHP11101418AA-TTV.csv;3;Type: TTV
MDHP11101418AA-TTV.csv;4;Oppsett: 0
MDHP11101418AA-TTV.csv;5;Variant: BOK
MDHP11101418AA-TTV.csv;6;MDHP11101418AA
MDHP11101418AA-TTV.csv;7;00:00:00 - 00:05:39:15 05'39
MSUB17003713AA-TTV.csv;0;{\an7}MSUB 170037/13 A t-tv 121 t
MSUB17003713AA-TTV.csv;1;SUPERKVISS, ep 37
MSUB17003713AA-TTV.csv;2;Navn: MSUB17003713AA
MSUB17003713AA-TTV.csv;3;Type: TTV
MSUB17003713AA-TTV.csv;4;Oppsett: 0
MSUB17003713AA-TTV.csv;5;Variant: BOK
MSUB17003713AA-TTV.csv;6;MSUB17003713AA
MSUB17003713AA-TTV.csv;7;00:00:00 - 00:14:00 14'00
MDHP12600718AA-TTV.csv;0;{\an7}MDHP126007/18A  t-tv 439 t
MDHP12600718AA-TTV.csv;1;Hva feiler det deg 7:8
MDHP12600718AA-TTV.csv;2;Navn: MDHP12600718AA
MDHP12600718AA-TTV.csv;3;Type: TTV
MDHP12600718AA-TTV.csv;4;Oppsett: 0
MDHP12600718AA-TTV.csv;5;Variant: BOK
MDHP12600718AA-TTV.csv;6;MDHP12600718AA
MDHP12600718AA-TTV.csv;7;00:00:00 - 00:39:08  39'08
MDHP12600718AA-TTV.csv;8;14.02.18
MDHP12600718AA-TTV.csv;9;man
MSUS49000313AA-TTV.csv;0;{\an7}MSUS 490003/13 A   t-tv   108 t
MSUS49000313AA-TTV.csv;1;MK-X 3:12
MSUS49000313AA-TTV.csv;2;Navn: MSUS49000313AA
MSUS49000313AA-TTV.csv;3;Type: TTV
MSUS49000313AA-TTV.csv;4;Oppsett: 0
MSUS49000313AA-TTV.csv;5;Variant: BOK
MSUS49000313AA-TTV.csv;6;wmv
MSUS49000313AA-TTV.csv;7;13'00''
MSUS49000313AA-TTV.csv;8;20.09.13
MSUS49000313AA-TTV.csv;9;akr
NNFA53041316AH-TTV.csv;0;{\an7}NNFA-530413-16AH t-tv 134 t
NNFA53041316AH-TTV.csv;1;Urix
NNFA53041316AH-TTV.csv;2;Navn: NNFA53041316AH
NNFA53041316AH-TTV.csv;3;Type: TTV
NNFA53041316AH-TTV.csv;4;Oppsett: 0
NNFA53041316AH-TTV.csv;5;Variant: BOK
NNFA53041316AH-TTV.csv;6;NNFA-530413-16AH
NNFA53041316AH-TTV.csv;7;20:24:57– 20:54:03 0.29'06
FUHA02008380AU-TTV.csv;0;{\an7}FUHA 020083/80 A 230 ttv
FUHA02008380AU-TTV.csv;1;Tittel: Nr. 12
FUHA02008380AU-TTV.csv;2;Navn: FUHA02008380AU
FUHA02008380AU-TTV.csv;3;Type: TTV
FUHA02008380AU-TTV.csv;4;Oppsett: 0
FUHA02008380AU-TTV.csv;5;Variant: BOK
FUHA02008380AU-TTV.csv;6;FUHA02008380AA
FUHA02008380AU-TTV.csv;7;00:01:21 - 00:37:38: 36'17
NNFA17092618AH-TTV.csv;0;{\an7}NNFA-170926-18AH t-tv 121 t
NNFA17092618AH-TTV.csv;1;NRK nyheter
NNFA17092618AH-TTV.csv;2;Navn: NNFA17092618AH
NNFA17092618AH-TTV.csv;3;Type: TTV
NNFA17092618AH-TTV.csv;4;Oppsett: 5
NNFA17092618AH-TTV.csv;5;Variant: BOK
NNFA17092618AH-TTV.csv;6;NNFA-170926-18AH
NNFA17092618AH-TTV.csv;7;16:59:59– 17:14:33 0.14'34
NNFA07102518AH-TTV.csv;0;{\an7}NNFA-071025-18AH t-tv 127 t
NNFA07102518AH-TTV.csv;1;Politisk kvarter
NNFA07102518AH-TTV.csv;2;Navn: NNFA07102518AH
NNFA07102518AH-TTV.csv;3;Type: TTV
NNFA07102518AH-TTV.csv;4;Oppsett: 5
NNFA07102518AH-TTV.csv;5;Variant: BOK
NNFA07102518AH-TTV.csv;6;NNFA-071025-18AH
NNFA07102518AH-TTV.csv;7;07:45:00– 08:00:01 0.15'01
DKMR99030819AA-TTV.csv;0;{\an7}DKMR-990308-19AA t-tv 83 t
DKMR99030819AA-TTV.csv;1;Distriktsnyheter Møre og Romsdal
DKMR99030819AA-TTV.csv;2;Navn: DKMR99030819AA
DKMR99030819AA-TTV.csv;3;Type: TTV
DKMR99030819AA-TTV.csv;4;Oppsett: 5
DKMR99030819AA-TTV.csv;5;Variant: BOK
DKMR99030819AA-TTV.csv;6;DKMR-990308-19AA
DKMR99030819AA-TTV.csv;7;08:57:08– 09:06:03 0.08'55
NNFA91031219AH-TTV.csv;0;{\an7}NNFA-910312-19AH t-tv 34 t
NNFA91031219AH-TTV.csv;1;Tegnspråknytt
NNFA91031219AH-TTV.csv;2;Navn: NNFA91031219AH
NNFA91031219AH-TTV.csv;3;Type: TTV
NNFA91031219AH-TTV.csv;4;Oppsett: 5
NNFA91031219AH-TTV.csv;5;Variant: BOK
NNFA91031219AH-TTV.csv;6;NNFA-910312-19AH
NNFA91031219AH-TTV.csv;7;17:45:00– 17:48:47 0.03'47
NNFA23122818AH-TTV.csv;0;{\an7}NNFA-231228-18AH t-tv 143 t
NNFA23122818AH-TTV.csv;1;Kveldsnytt
NNFA23122818AH-TTV.csv;2;Navn: NNFA23122818AH
NNFA23122818AH-TTV.csv;3;Type: TTV
NNFA23122818AH-TTV.csv;4;Oppsett: 5
NNFA23122818AH-TTV.csv;5;Variant: BOK
NNFA23122818AH-TTV.csv;6;NNFA-231228-18AH
NNFA23122818AH-TTV.csv;7;23:10:00– 23:25:55 0.15'55
MKDP40002915AW-TTV.csv;0;{\an7}MKDP40002915A t-tv 412 t
MKDP40002915AW-TTV.csv;1;Sandnes
MKDP40002915AW-TTV.csv;2;Navn: MKDP40002915AW
MKDP40002915AW-TTV.csv;3;Type: TTV
MKDP40002915AW-TTV.csv;4;Oppsett: 0
MKDP40002915AW-TTV.csv;5;Variant: BOK
MKDP40002915AW-TTV.csv;6;ENRK-010730-15A
MKDP40002915AW-TTV.csv;7;21:30:24- 22:29:17 0.58'53
NNFA12011619AH-TTV.csv;0;{\an7}NNFA-120116-19AH t-tv 109 t
NNFA12011619AH-TTV.csv;1;NRK nyheter
NNFA12011619AH-TTV.csv;2;Navn: NNFA12011619AH
NNFA12011619AH-TTV.csv;3;Type: TTV
NNFA12011619AH-TTV.csv;4;Oppsett: 5
NNFA12011619AH-TTV.csv;5;Variant: BOK
NNFA12011619AH-TTV.csv;6;NNFA-120116-19AH
NNFA12011619AH-TTV.csv;7;12:00:00– 12:15:33 0.15'33
NNFA23123017AH-TTV.csv;0;{\an7}NNFA-231230-17AH t-tv 161 t
NNFA23123017AH-TTV.csv;1;Kveldsnytt
NNFA23123017AH-TTV.csv;2;Navn: NNFA23123017AH
NNFA23123017AH-TTV.csv;3;Type: TTV
NNFA23123017AH-TTV.csv;4;Oppsett: 0
NNFA23123017AH-TTV.csv;5;Variant: BOK
NNFA23123017AH-TTV.csv;6;NNFA-231230-17AH
NNFA23123017AH-TTV.csv;7;23:11:54– 23:26:46 0.14'52
MSUB02009817AA-TTV.csv;0;{\an7}MSUB02009817A  t-tv 82 t
MSUB02009817AA-TTV.csv;1;Supernytt 98
MSUB02009817AA-TTV.csv;2;Navn: MSUB02009817AA
MSUB02009817AA-TTV.csv;3;Type: TTV
MSUB02009817AA-TTV.csv;4;Oppsett: 0
MSUB02009817AA-TTV.csv;5;Variant: BOK
MSUB02009817AA-TTV.csv;6;MSUB02009817AA
MSUB02009817AA-TTV.csv;7;-- -- --                      08'35
MSUB02016418AA-TTV.csv;0;{\an7}MSUB02016418A  t-tv 71 t
MSUB02016418AA-TTV.csv;1;Supernytt 164
MSUB02016418AA-TTV.csv;2;Navn: MSUB02016418AA
MSUB02016418AA-TTV.csv;3;Type: TTV
MSUB02016418AA-TTV.csv;4;Oppsett: 0
MSUB02016418AA-TTV.csv;5;Variant: BOK
MSUB02016418AA-TTV.csv;6;MSUB02016418AA
MSUB02016418AA-TTV.csv;7;-- -- --                      07'34
DVFJ40003818AH-TTV.csv;0;{\an7}DVFJ-400038-18AH t-tv 35 t
DVFJ40003818AH-TTV.csv;1;Opus 38 Lyriske stykker II
DVFJ40003818AH-TTV.csv;2;Navn: DVFJ40003818AH
DVFJ40003818AH-TTV.csv;3;Type: TTV
DVFJ40003818AH-TTV.csv;4;Oppsett: 5
DVFJ40003818AH-TTV.csv;5;Variant: BOK
DVFJ40003818AH-TTV.csv;6;DVFJ-400038-18AH
DVFJ40003818AH-TTV.csv;7;07:28:32– 07:50:47 0.22'15
NNFA19051519AH-TTV.csv;0;{\an7}NNFA-190515-19AH t-tv 443 t
NNFA19051519AH-TTV.csv;1;Dagsrevyen
NNFA19051519AH-TTV.csv;2;Navn: NNFA19051519AH
NNFA19051519AH-TTV.csv;3;Type: TTV
NNFA19051519AH-TTV.csv;4;Oppsett: 5
NNFA19051519AH-TTV.csv;5;Variant: BOK
NNFA19051519AH-TTV.csv;6;NNFA-190515-19AH
NNFA19051519AH-TTV.csv;7;18:59:52– 19:43:55 0.44'03
DKTL99101718AA-TTV.csv;0;{\an7}DKTL-991017-18AA t-tv 103 t
